央视,#genre#
风云足球,http://ip.52kk.vip:4022/udp/239.76.247.52:1234$湖南电信
高尔夫网球,http://ip.52kk.vip:4022/udp/239.76.247.62:1234$湖南电信
怀旧剧场,http://ip.52kk.vip:4022/udp/239.76.247.53:1234$湖南电信
女性时尚,http://ip.52kk.vip:4022/udp/239.76.247.55:1234$湖南电信
世界地理,http://ip.52kk.vip:4022/udp/239.76.247.57:1234$湖南电信
央视台球,http://ip.52kk.vip:4022/udp/239.76.247.58:1234$湖南电信
文化精品,http://ip.52kk.vip:4022/udp/239.76.247.56:1234$湖南电信
CHC影迷电影,http://ip.52kk.vip:4022/udp/239.76.245.242:1234$湖南电信
CHC动作电影,http://ip.52kk.vip:4022/udp/239.76.245.243:1234$湖南电信
CHC家庭影院,http://ip.52kk.vip:4022/udp/239.76.245.241:1234$湖南电信
CHC家庭影院,http://ip.52kk.vip:4022/udp/239.76.252.241:9000$湖南电信
CHC影迷电影,http://ip.52kk.vip:4022/udp/239.76.252.242:9000$湖南电信
CHC动作电影,http://ip.52kk.vip:4022/udp/239.76.252.243:9000$湖南电信
CETV1,http://ip.52kk.vip:4022/udp/239.76.245.192:1234$湖南电信
CETV4,http://ip.52kk.vip:4022/udp/239.76.245.254:1234$湖南电信
CETV1,http://ip.52kk.vip:4022/udp/239.76.252.192:9000$湖南电信
CETV4,http://ip.52kk.vip:4022/udp/239.76.252.254:9000$湖南电信

湖南,#genre#
湖南卫视,http://192.168.200.1:8888/udp/239.76.253.101:9000
湖南经视,http://192.168.200.1:8888/udp/239.76.253.103:9000
湖南都市,http://192.168.200.1:8888/udp/239.76.253.104:9000
湖南电视剧,http://192.168.200.1:8888/udp/239.76.253.108:9000
湖南电影,http://192.168.200.1:8888/udp/239.76.253.106:9000
湖南爱晚,http://192.168.200.1:8888/udp/239.76.253.109:9000
湖南娱乐,http://192.168.200.1:8888/udp/239.76.253.105:9000
金鹰纪实,http://192.168.200.1:8888/udp/239.76.253.110:9000
湖南国际,http://192.168.200.1:8888/udp/239.76.253.102:9000
湖南教育,http://192.168.200.1:8888/udp/239.76.252.233:9000
茶频道,http://192.168.200.1:8888/udp/239.76.252.239:9000
湖南卫视,http://192.168.200.1:8888/udp/239.76.246.101:1234
湖南经视,http://192.168.200.1:8888/udp/239.76.246.103:1234
湖南都市,http://192.168.200.1:8888/udp/239.76.246.104:1234
湖南电视剧,http://192.168.200.1:8888/udp/239.76.246.108:1234
湖南电影,http://192.168.200.1:8888/udp/239.76.246.106:1234
湖南国际,http://192.168.200.1:8888/udp/239.76.246.102:1234
湖南爱晚,http://192.168.200.1:8888/udp/239.76.246.109:1234
湖南教育,http://192.168.200.1:8888/udp/239.76.245.233:1234
湖南娱乐,http://192.168.200.1:8888/udp/239.76.246.105:1234
快乐垂钓,http://192.168.200.1:8888/udp/239.76.246.5:1234
四海钓鱼,http://192.168.200.1:8888/udp/239.76.253.4:9000
快乐垂钓,http://192.168.200.1:8888/udp/239.76.253.5:9000
四海钓鱼,http://192.168.200.1:8888/udp/239.76.246.4:1234
金鹰纪实,http://192.168.200.1:8888/udp/239.76.246.110:1234
长沙新闻,http://192.168.200.1:8888/udp/239.76.246.121:1234
长沙政法,http://192.168.200.1:8888/udp/239.76.246.122:1234
长沙文旅,http://192.168.200.1:8888/udp/239.76.255.42:9000
益阳新闻,http://192.168.200.1:8888/udp/239.76.255.15:9000
益阳新闻,http://192.168.200.1:8888/udp/239.76.248.15:1234

湖南卫视,http://ip.52kk.vip:4022/udp/239.76.253.101:9000$湖南电信
湖南经视,http://ip.52kk.vip:4022/udp/239.76.253.103:9000$湖南电信
湖南都市,http://ip.52kk.vip:4022/udp/239.76.253.104:9000$湖南电信
湖南电视剧,http://ip.52kk.vip:4022/udp/239.76.253.108:9000$湖南电信
湖南电影,http://ip.52kk.vip:4022/udp/239.76.253.106:9000$湖南电信
湖南爱晚,http://ip.52kk.vip:4022/udp/239.76.253.109:9000$湖南电信
湖南娱乐,http://ip.52kk.vip:4022/udp/239.76.253.105:9000$湖南电信
金鹰纪实,http://ip.52kk.vip:4022/udp/239.76.253.110:9000$湖南电信
湖南国际,http://ip.52kk.vip:4022/udp/239.76.253.102:9000$湖南电信
湖南教育,http://ip.52kk.vip:4022/udp/239.76.252.233:9000$湖南电信
茶频道,http://ip.52kk.vip:4022/udp/239.76.252.239:9000$湖南电信
湖南卫视,http://ip.52kk.vip:4022/udp/239.76.246.101:1234$湖南电信
湖南经视,http://ip.52kk.vip:4022/udp/239.76.246.103:1234$湖南电信
湖南都市,http://ip.52kk.vip:4022/udp/239.76.246.104:1234$湖南电信
湖南电视剧,http://ip.52kk.vip:4022/udp/239.76.246.108:1234$湖南电信
湖南电影,http://ip.52kk.vip:4022/udp/239.76.246.106:1234$湖南电信
